PK,Shipment ID,Indicator,Sent to EBS,Utilization,Weight Utilization,Volume Utilization,EBS Trip,Service Provider Name,Destination Location Name,State,Mode,Equipment,Stops,Total Gross Weight,Total Gross Volume,Loaded Distance,Total Actual Cost,Planned Cost,Start Time,Pull Target Time,City,Destination Postal Code,End Time,Source Location ID,Source Location Name,Destination Location ID,Status,Service Provider ID,Total Ship Unit Count,Update User,Last Update Time,Number of Order Releases,Domain Name
CLP.1076807,1076807,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.06,0.01,20165231,CLOPAY TRUCK,"FIVE STAR ,ASHEBORO,NC,USA",NC,TRUCK,BOXTRUCK,2,637.36,14.6,32.9,73.7,73.7,2016-07-21 15:57 America/New_York,,ASHEBORO,27205-0994,2016-07-21 15:57 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-1159-4283,SECURE RESOURCES_ACCEPTED,CAR-200710,10,CLP.INTEGRATION,2016-07-21 16:46 EST5EDT,4,CLP
CLP.1101135,1101135,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.11,0.02,,CLOPAY TRUCK,"HOME DEPOT,GARNER,NC,USA",NC,TRUCK,BOXTRUCK,3,1119.03,15.28,334.6,576.7,579.6,2017-06-20 02:47 America/New_York,,GARNER,27529-2589,2017-06-20 10:37 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-1007-9340,SECURE RESOURCES_ACCEPTED,CAR-200710,13,CLP.ADMIN,2017-06-19 15:47 EST5EDT,7,CLP
CLP.1078000,1078000,G,/images/icons/system/accepted.gif,/images/icons/system/20_percent.gif,0.16,0.02,,CLOPAY TRUCK,"HOME DEPOT,CARY,NC,USA",NC,TRUCK,BOXTRUCK,4,1563.15,22.59,400.1,529.31,529.42,2016-08-08 03:07 America/New_York,,CARY,27518-9205,2016-08-08 11:40 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-1007-2417,SECURE RESOURCES_ACCEPTED,CAR-200710,27,CLP.INTEGRATION,2016-08-08 17:57 EST5EDT,9,CLP
CLP.1101429,1101429,G,/images/icons/system/accepted.gif,/images/icons/system/20_percent.gif,0.23,0.03,,CLOPAY TRUCK,"MARVIN'S G,EAST BEND,NC,USA",NC,TRUCK,BOXTRUCK,2,2270.46,27.26,53.2,146.84,146.84,2017-06-22 11:40 America/New_York,,EAST BEND,27018-8165,2017-06-22 14:33 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-1440-4651,SECURE RESOURCES_ACCEPTED,CAR-200710,100,CLP.ADMIN,2017-06-22 11:42 EST5EDT,22,CLP
CLP.1077074,1077074,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.12,0.02,,CLOPAY TRUCK,"HOME DEPOT,HENDERSONV,NC,USA",NC,TRUCK,BOXTRUCK,5,1244.11,17.62,330.1,578.25,582.29,2016-07-26 03:43 America/New_York,,HENDERSONVILLE,28792-5317,2016-07-26 11:50 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-1007-295039,SECURE RESOURCES_ACCEPTED,CAR-200710,50,CLP.INTEGRATION,2016-07-26 18:26 EST5EDT,13,CLP
CLP.1077655,1077655,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.07,0.01,,CLOPAY TRUCK,"HOME DEPOT,HENDERSONV,NC,USA",NC,TRUCK,BOXTRUCK,6,697.24,7.64,390,645.34,640.31,2016-08-03 03:44 America/New_York,,HENDERSONVILLE,28792-5317,2016-08-03 13:55 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-1007-295039,SECURE RESOURCES_ACCEPTED,CAR-200710,84,CLP.INTEGRATION,2016-08-02 17:36 EST5EDT,19,CLP
CLP.1077291,1077291,G,/images/icons/system/accepted.gif,/images/icons/system/0_percent.gif,0.05,0,,CLOPAY TRUCK,"KEN'S DOOR,DOBSON,NC,USA",NC,TRUCK,BOXTRUCK,3,482.99,2.84,76.5,167.66,167.66,2016-07-28 07:10 America/New_York,,DOBSON,27017-8583,2016-07-28 10:05 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-2464-15681,SECURE RESOURCES_ACCEPTED,CAR-200710,125,CLP.INTEGRATION,2016-07-28 17:05 EST5EDT,21,CLP
CLP.1100964,1100964,G,/images/icons/system/accepted.gif,/images/icons/system/20_percent.gif,0.16,0.04,,CLOPAY TRUCK,"RUTHERFORD,RUTHERFORD,NC,USA",NC,TRUCK,BOXTRUCK,3,1607.79,36.19,152.8,418.41,418.41,2017-06-19 04:11 America/New_York,,RUTHERFORDTON,28139-8022,2017-06-19 09:17 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-7353-7908,SECURE RESOURCES_ACCEPTED,CAR-200710,88,CLP.ADMIN,2017-06-16 12:38 EST5EDT,15,CLP
CLP.1077751,1077751,G,/images/icons/system/accepted.gif,/images/icons/system/30_percent.gif,0.31,0.07,20178705,CLOPAY TRUCK,"GARAGE DOO,MORGANTON,NC,USA",NC,TRUCK,BOXTRUCK,2,3078.38,69.24,119.9,268.58,268.58,2016-08-03 17:07 America/New_York,,MORGANTON,28655-4166,2016-08-03 17:07 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-10891-9425,SECURE RESOURCES_ACCEPTED,CAR-200710,15,CLP.INTEGRATION,2016-08-03 18:22 EST5EDT,6,CLP
CLP.1101209,1101209,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.14,0.02,20506836,CLOPAY TRUCK,"BOLES GARA,HENDERSONV,NC,USA",NC,TRUCK,BOXTRUCK,4,1384.33,18.07,196.1,527.58,527.58,2017-06-20 11:54 America/New_York,,HENDERSONVILLE,28792-5317,2017-06-20 11:54 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-2966883-295039,SECURE RESOURCES_ACCEPTED,CAR-200710,53,CLP.INTEGRATION,2017-06-20 12:55 EST5EDT,14,CLP
CLP.1078464,1078464,G,/images/icons/system/accepted.gif,/images/icons/system/20_percent.gif,0.21,0.03,,CLOPAY TRUCK,"RUTHERFORD,RUTHERFORD,NC,USA",NC,TRUCK,BOXTRUCK,3,2056.05,27.92,152.8,339.59,339.59,2016-08-12 06:12 America/New_York,,RUTHERFORDTON,28139-8022,2016-08-12 10:19 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-7353-7908,SECURE RESOURCES_ACCEPTED,CAR-200710,44,CLP.INTEGRATION,2016-08-12 17:28 EST5EDT,10,CLP
CLP.1078423,1078423,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.06,0,,CLOPAY TRUCK,"KEN'S DOOR,DOBSON,NC,USA",NC,TRUCK,BOXTRUCK,2,614.37,2.93,73.2,163.96,163.96,2016-08-11 14:08 America/New_York,,DOBSON,27017-8583,2016-08-11 16:21 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-2464-15681,SECURE RESOURCES_ACCEPTED,CAR-200710,31,CLP.INTEGRATION,2016-08-11 17:08 EST5EDT,9,CLP
CLP.1078576,1078576,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.09,0.01,,CLOPAY TRUCK,"HOME DEPOT,HENDERSONV,NC,USA",NC,TRUCK,BOXTRUCK,5,862.99,12.91,386.8,641.76,667.41,2016-08-16 03:17 America/New_York,,HENDERSONVILLE,28792-5317,2016-08-16 12:47 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-1007-295039,SECURE RESOURCES_ACCEPTED,CAR-200710,65,CLP.INTEGRATION,2016-08-15 19:38 EST5EDT,16,CLP
CLP.1105139,1105139,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.11,0.02,20559960,CLOPAY TRUCK,"BOLES GARA,HENDERSONV,NC,USA",NC,TRUCK,BOXTRUCK,6,1109.81,16.24,261.8,618.24,625.14,2017-08-08 16:46 America/New_York,,HENDERSONVILLE,28792-5317,2017-08-08 16:46 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-2966883-295039,SECURE RESOURCES_ACCEPTED,CAR-200710,98,CLP.INTEGRATION,2017-08-09 03:50 EST5EDT,28,CLP
CLP.1104893,1104893,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.1,0.03,20556247,CLOPAY TRUCK,"RUTHERFORD,RUTHERFORD,NC,USA",NC,TRUCK,BOXTRUCK,3,977.59,25.06,152.8,418.41,418.41,2017-08-04 15:52 America/New_York,,RUTHERFORDTON,28139-8022,2017-08-04 15:52 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-7353-7908,SECURE RESOURCES_ACCEPTED,CAR-200710,44,CLP.INTEGRATION,2017-08-04 16:18 EST5EDT,15,CLP
CLP.1120745,1120745,G,/images/icons/system/accepted.gif,/images/icons/system/50_percent.gif,0.49,0.49,20766280,CLOPAY TRUCK,"MARVIN'S G,EAST BEND,NC,USA",NC,TRUCK,BOXTRUCK,2,4886.38,492.81,53.2,165.98,165.98,2018-02-22 11:07 America/New_York,,EAST BEND,27018-8165,2018-02-22 11:07 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-1440-4651,SECURE RESOURCES_ACCEPTED,CAR-200710,98,CLP.INTEGRATION,2018-02-22 11:27 EST5EDT,20,CLP
