PK,Shipment ID,Indicator,Sent to EBS,Utilization,Weight Utilization,Volume Utilization,EBS Trip,Service Provider Name,Destination Location Name,State,Mode,Equipment,Stops,Total Gross Weight,Total Gross Volume,Loaded Distance,Total Actual Cost,Planned Cost,Start Time,Pull Target Time,City,Destination Postal Code,End Time,Source Location ID,Source Location Name,Destination Location ID,Status,Service Provider ID,Total Ship Unit Count,Update User,Last Update Time,Number of Order Releases,Domain Name
CLP.1086155,1086155,G,/images/icons/system/accepted.gif,/images/icons/system/0_percent.gif,0.02,0,,CLOPAY TRUCK,"DOORS & MO,LEXINGTON,TN,USA",TN,TRUCK,BOXTRUCK,2,182.78,2.86,96,282.24,282.24,2016-11-22 10:37 America/Chicago,,LEXINGTON,38351-1919,2016-11-22 13:30 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-67554-65892,SECURE RESOURCES_ACCEPTED,CAR-200710,20,CLP.INTEGRATION,2016-11-22 12:07 EST5EDT,4,CLP
CLP.1066142,1066142,G,/images/icons/system/accepted.gif,/images/icons/system/30_percent.gif,0.26,0.03,,CLOPAY TRUCK,"GARAGE DOO,GREENVILLE,MS,USA",MS,TRUCK,BOXTRUCK,3,2634.76,30.65,170.8,501.27,501.27,2016-02-26 04:32 America/Chicago,,GREENVILLE,38701-7737,2016-02-26 08:45 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-6791-7394,SECURE RESOURCES_ACCEPTED,CAR-200710,99,CLP.INTEGRATION,2016-02-25 17:58 EST5EDT,10,CLP
CLP.1086830,1086830,G,/images/icons/system/accepted.gif,/images/icons/system/20_percent.gif,0.22,0.07,,CLOPAY TRUCK,"MITCHELL O,MEDON,TN,USA",TN,TRUCK,BOXTRUCK,2,2176.17,68.29,63.5,186.68,186.68,2016-12-02 04:59 America/Chicago,,MEDON,38356-8140,2016-12-05 07:35 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-20345-16691,SECURE RESOURCES_ACCEPTED,CAR-200710,5,CLP.INTEGRATION,2016-12-02 16:15 EST5EDT,2,CLP
CLP.1116792,1116792,G,/images/icons/system/accepted.gif,/images/icons/system/80_percent.gif,0.79,0.79,20721458,CLOPAY TRUCK,"TMS CUSTOM,JUDSONIA,AR,USA",AR,TRUCK,BOXTRUCK,3,7947.57,794.73,127.1,457.71,457.71,2018-01-09 15:29 America/Chicago,,JUDSONIA,72081,2018-01-09 15:29 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-2187839-313230,SECURE RESOURCES_ACCEPTED,CAR-200710,10,CLP.INTEGRATION,2018-01-09 18:34 EST5EDT,3,CLP
CLP.1065347,1065347,G,,/images/icons/system/20_percent.gif,0.17,0.01,,CLOPAY TRUCK,"GARAGE DOO,SEARCY,AR,USA",AR,TRUCK,BOXTRUCK,4,1708.76,11.88,229.3,720.18,716.06,2016-02-12 05:15 America/Chicago,,SEARCY,72143-6914,2016-02-15 07:30 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-1195-20081,SECURE RESOURCES_ACCEPTED,CAR-200710,129,CLP.INTEGRATION,2016-02-12 13:32 EST5EDT,17,CLP
CLP.1086295,1086295,G,/images/icons/system/accepted.gif,/images/icons/system/0_percent.gif,0.01,0,,CLOPAY TRUCK,"GARAGE DOO,SEARCY,AR,USA",AR,TRUCK,BOXTRUCK,3,141.59,0,167.1,422.48,422.48,2016-11-23 05:17 America/Chicago,,SEARCY,72143-6914,2016-11-24 09:29 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-1195-20081,SECURE RESOURCES_ACCEPTED,CAR-200710,45,CLP.INTEGRATION,2016-11-23 17:50 EST5EDT,4,CLP
CLP.1066047,1066047,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.1,0.02,20018811,CLOPAY TRUCK,"DOORS & MO,LEXINGTON,TN,USA",TN,TRUCK,BOXTRUCK,4,1048.08,16.82,218.5,462.32,462.32,2016-02-24 12:47 America/Chicago,,LEXINGTON,38351-1919,2016-02-24 12:47 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-67554-65892,SECURE RESOURCES_ACCEPTED,CAR-200710,15,CLP.RKILARU,2017-05-08 06:03 EST5EDT,4,CLP
CLP.1085966,1085966,G,/images/icons/system/accepted.gif,/images/icons/system/0_percent.gif,0.05,0,,CLOPAY TRUCK,"GARAGE DOO,SEARCY,AR,USA",AR,TRUCK,BOXTRUCK,3,480.82,1.41,247.7,540.96,541.4,2016-11-18 03:58 America/Chicago,,SEARCY,72143-6914,2016-11-21 09:12 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-1195-20081,SECURE RESOURCES_ACCEPTED,CAR-200710,61,CLP.INTEGRATION,2016-11-18 16:55 EST5EDT,10,CLP
CLP.1117505,1117505,G,/images/icons/system/accepted.gif,/images/icons/system/50_percent.gif,0.48,0.48,,CLOPAY TRUCK,"GARAGE DOO,GREENVILLE,MS,USA",MS,TRUCK,BOXTRUCK,3,4792.11,479.06,170.8,647.9,647.9,2018-01-17 03:51 America/Chicago,,GREENVILLE,38701-7737,2018-01-18 09:41 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-6791-7394,SECURE RESOURCES_ACCEPTED,CAR-200710,42,CLP.NBROOKS,2018-01-17 15:31 EST5EDT,15,CLP
CLP.1085043,1085043,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.09,0.01,20285724,CLOPAY TRUCK,"GARAGE DOO,GREENVILLE,MS,USA",MS,TRUCK,BOXTRUCK,3,906.63,5.85,170.8,501.27,501.27,2016-11-08 15:13 America/Chicago,,GREENVILLE,38701-7737,2016-11-08 15:13 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-6791-7394,SECURE RESOURCES_ACCEPTED,CAR-200710,58,CLP.INTEGRATION,2016-11-08 17:10 EST5EDT,6,CLP
